band,wavelength,fwhm
B241,1588.46496582031,5.8
B242,1593.47302246094,5.8
B243,1598.48095703125,5.8
B244,1603.48889160156,5.8
B245,1608.49694824219,5.8
B246,1613.5048828125,5.8
B247,1618.51293945312,5.8
B248,1623.52075195312,5.8
B249,1628.52880859375,5.8
B250,1633.53674316406,5.8
B251,1638.54467773438,5.81
B252,1643.552734375,5.81
B253,1648.56066894531,5.81
B254,1653.56872558594,5.81
B255,1658.57666015625,5.81
B256,1663.58459472656,5.81
B257,1668.59265136719,5.81
B258,1673.6005859375,5.81
B259,1678.60852050781,5.81
B260,1683.61645507812,5.81
B261,1688.62451171875,5.81
B262,1693.63244628906,5.81
B263,1698.64038085938,5.81
B264,1703.6484375,5.81
B265,1708.65637207031,5.81
B266,1713.66430664062,5.81
B267,1718.67224121094,5.81
B268,1723.68029785156,5.81
B269,1728.68823242188,5.81
B270,1733.69616699219,5.81
B271,1738.70422363281,5.81
B272,1743.71215820312,5.82
B273,1748.72009277344,5.82
B274,1753.72814941406,5.82
B275,1758.73608398438,5.82
B276,1763.744140625,5.82
B277,1768.751953125,5.82
B278,1773.76000976562,5.82
B279,1778.76794433594,5.82
B280,1783.77587890625,5.82
B281,1788.78393554688,5.82
B282,1793.79187011719,5.82
B283,1798.79992675781,5.82
B284,1803.80773925781,5.82
B285,1808.81579589844,5.82
B286,1813.82385253906,5.82
B287,1818.83166503906,5.82
B288,1823.83972167969,5.83
B289,1828.84765625,5.83
B290,1833.85571289062,5.83
B291,1838.86364746094,5.83
B292,1843.87158203125,5.83
B293,1848.87963867188,5.83
B294,1853.88757324219,5.83
B295,1858.8955078125,5.83
B296,1863.90344238281,5.83
B297,1868.91149902344,5.83
B298,1873.91943359375,5.83
B299,1878.92736816406,5.83
B300,1883.93542480469,5.83
B301,1888.943359375,5.84
B302,1893.95129394531,5.84
B303,1898.95935058594,5.84
B304,1903.96728515625,5.84
B305,1908.97521972656,5.84
B306,1913.98315429688,5.84
B307,1918.9912109375,5.84
B308,1923.99914550781,5.84
B309,1929.00708007812,5.84
B310,1934.01513671875,5.84
B311,1939.02307128906,5.84
B312,1944.03100585938,5.84
B313,1949.03894042969,5.85
B314,1954.04699707031,5.85
B315,1959.05505371094,5.85
B316,1964.06286621094,5.85
B317,1969.07092285156,5.85
B318,1974.07885742188,5.85
B319,1979.0869140625,5.85
B320,1984.09484863281,5.85
B321,1989.10278320312,5.85
B322,1994.11083984375,5.86
B323,1999.11865234375,5.86
B324,2004.12670898438,5.86
B325,2009.13464355469,5.86
B326,2014.14270019531,5.86
B327,2019.15063476562,5.86
B328,2024.15856933594,5.86
B329,2029.16662597656,5.86
B330,2034.17456054688,5.86
B331,2039.18249511719,5.87
B332,2044.19055175781,5.87
B333,2049.19848632812,5.87
B334,2054.20629882812,5.87
B335,2059.21435546875,5.87
B336,2064.22241210938,5.87
B337,2069.23046875,5.87
B338,2074.23828125,5.87
B339,2079.24633789062,5.88
B340,2084.25439453125,5.88
