 #wvl              a              b              c           rmse
1190.00000000 0.004409208893 0.405209178960 0.000000000244 0.000000000194
1199.99988000 0.004414687491 0.406216764869 0.000000000262 0.000000000208
1210.00049000 0.004421218892 0.407419609099 0.000000000284 0.000000000225
1220.00049000 0.004427819102 0.408636930458 0.000000000309 0.000000000244
1229.99963000 0.004434342271 0.409841826357 0.000000000334 0.000000000264
1239.99963000 0.004440344494 0.410952063947 0.000000000358 0.000000000283
1250.00012000 0.004446184955 0.412033820549 0.000000000384 0.000000000303
1259.99963000 0.004449335030 0.412617860365 0.000000000398 0.000000000315
1269.99988000 0.004448801624 0.412518935124 0.000000000396 0.000000000312
1280.00012000 0.004445854707 0.411972614993 0.000000000382 0.000000000302
1289.99988000 0.004441544208 0.411174155943 0.000000000364 0.000000000287
1300.00049000 0.004434586484 0.409886969322 0.000000000335 0.000000000265
1310.00000000 0.004421322612 0.407438724749 0.000000000285 0.000000000225
1320.00024000 0.004397384561 0.403038791681 0.000000000209 0.000000000166
1330.00012000 0.004372499061 0.398490023630 0.000000000147 0.000000000118
1340.00000000 0.004350757773 0.394537099083 0.000000000106 0.000000000085
1350.00000000 0.004329759488 0.390737963604 0.000000000075 0.000000000060
1359.99927000 0.004306884735 0.386620237414 0.000000000050 0.000000000040
1369.99951000 0.004282918747 0.382329468128 0.000000000031 0.000000000025
1379.99976000 0.004256496062 0.377626606880 0.000000000017 0.000000000014
1389.99976000 0.004228550815 0.372684411314 0.000000000011 0.000000000009
1400.00000000 0.004199976671 0.367664651105 0.000000000010 0.000000000008
1409.99988000 0.004169624216 0.362369765106 0.000000000009 0.000000000007
1419.99988000 0.004137251200 0.356764722668 0.000000000007 0.000000000006
1429.99963000 0.004103704554 0.351002570097 0.000000000006 0.000000000005
1439.99988000 0.004068353501 0.344981247935 0.000000000005 0.000000000004
1449.99963000 0.004032069011 0.338855109896 0.000000000004 0.000000000004
1460.00037000 0.003995162200 0.332680203580 0.000000000004 0.000000000003
1470.00049000 0.003957260794 0.326397987343 0.000000000003 0.000000000002
1480.00024000 0.003918216022 0.319988875557 0.000000000002 0.000000000002
1489.99988000 0.003878928022 0.313603983181 0.000000000002 0.000000000002
1500.00000000 0.003839651691 0.307285302426 0.000000000001 0.000000000001
1509.99988000 0.003800441785 0.301041450585 0.000000000001 0.000000000001
1520.00000000 0.003760360681 0.294725108081 0.000000000001 0.000000000001
1529.99939000 0.003720320422 0.288482067803 0.000000000001 0.000000000001
1539.99988000 0.003680919722 0.282403985861 0.000000000001 0.000000000000
1549.99963000 0.003641254102 0.276350404290 0.000000000000 0.000000000000
1560.00024000 0.003602061708 0.270433462028 0.000000000000 0.000000000000
1570.00000000 0.003563117155 0.264617361792 0.000000000000 0.000000000000
1580.00000000 0.003524564394 0.258922046213 0.000000000000 0.000000000000
