band,wavelength
refl_B_256,1660.48047
refl_B_257,1665.48755
refl_B_258,1670.49463
refl_B_259,1675.50159
refl_B_260,1680.50854
refl_B_261,1685.51575
refl_B_262,1690.52271
refl_B_263,1695.52966
refl_B_264,1700.53674
refl_B_265,1705.54382
refl_B_266,1710.55078
refl_B_267,1715.55774
refl_B_268,1720.56494
refl_B_269,1725.57190
refl_B_270,1730.57886
refl_B_271,1735.58606
refl_B_272,1740.59302
refl_B_273,1745.59998
refl_B_274,1750.60706
refl_B_275,1755.61414
refl_B_276,1760.62109
refl_B_277,1765.62805
refl_B_278,1770.63525
refl_B_279,1775.64221
refl_B_280,1780.64917
refl_B_281,1785.65625
refl_B_282,1790.66333
refl_B_283,1795.67029
refl_B_284,1800.67725
refl_B_285,1805.68445
refl_B_286,1810.69141
refl_B_287,1815.69836
refl_B_288,1820.70544
refl_B_289,1825.71252
refl_B_290,1830.71948
refl_B_291,1835.72644
refl_B_292,1840.73364
refl_B_293,1845.74060
refl_B_294,1850.74756
refl_B_295,1855.75476
refl_B_296,1860.76172
refl_B_297,1865.76868
refl_B_298,1870.77576
refl_B_299,1875.78284
refl_B_300,1880.78979
refl_B_301,1885.79675
refl_B_302,1890.80396
refl_B_303,1895.81091
refl_B_304,1900.81787
refl_B_305,1905.82495
refl_B_306,1910.83203
refl_B_307,1915.83899
refl_B_308,1920.84595
refl_B_309,1925.85315
refl_B_310,1930.86011
refl_B_311,1935.86707
refl_B_312,1940.87415
refl_B_313,1945.88123
refl_B_314,1950.88818
refl_B_315,1955.89514
refl_B_316,1960.90234
refl_B_317,1965.90930
refl_B_318,1970.91626
refl_B_319,1975.92334
refl_B_320,1980.93042
refl_B_321,1985.93738
refl_B_322,1990.94446
refl_B_323,1995.95154
refl_B_324,2000.95850
refl_B_325,2005.96545
refl_B_326,2010.97253
refl_B_327,2015.97961
refl_B_328,2020.98657
refl_B_329,2025.99365
refl_B_330,2031.00073
refl_B_331,2036.00769
refl_B_332,2041.01465
refl_B_333,2046.02185
refl_B_334,2051.02881
refl_B_335,2056.03589
refl_B_336,2061.04272
refl_B_337,2066.04980
refl_B_338,2071.05688
refl_B_339,2076.06396
refl_B_340,2081.07104
refl_B_341,2086.07788
refl_B_342,2091.08496
refl_B_343,2096.09204
refl_B_344,2101.09912
refl_B_345,2106.10620
refl_B_346,2111.11304
refl_B_347,2116.12012
refl_B_348,2121.12720
refl_B_349,2126.13428
refl_B_350,2131.14111
refl_B_351,2136.14819
refl_B_352,2141.15527
refl_B_353,2146.16235
refl_B_354,2151.16943
refl_B_355,2156.17651
refl_B_356,2161.18335
refl_B_357,2166.19043
refl_B_358,2171.19751
refl_B_359,2176.20459
refl_B_360,2181.21143
refl_B_361,2186.21851
refl_B_362,2191.22559
refl_B_363,2196.23267
refl_B_364,2201.23950
refl_B_365,2206.24658
refl_B_366,2211.25366
refl_B_367,2216.26074
refl_B_368,2221.26782
refl_B_369,2226.27490
refl_B_370,2231.28174
refl_B_371,2236.28882
refl_B_372,2241.29590
refl_B_373,2246.30298
refl_B_374,2251.30981
refl_B_375,2256.31689
refl_B_376,2261.32397
refl_B_377,2266.33105
refl_B_378,2271.33813
refl_B_379,2276.34521
refl_B_380,2281.35205
refl_B_381,2286.35913
refl_B_382,2291.36621
refl_B_383,2296.37329
refl_B_384,2301.38013
refl_B_385,2306.38721
refl_B_386,2311.39429
refl_B_387,2316.40137
refl_B_388,2321.40820
refl_B_389,2326.41528
refl_B_390,2331.42236
refl_B_391,2336.42944
refl_B_392,2341.43652
refl_B_393,2346.44360
refl_B_394,2351.45044
refl_B_395,2356.45752
refl_B_396,2361.46460
refl_B_397,2366.47168
refl_B_398,2371.47852
refl_B_399,2376.48560
refl_B_400,2381.49268
refl_B_401,2386.49976
refl_B_402,2391.50659
refl_B_403,2396.51392
refl_B_404,2401.52075
refl_B_405,2406.52783
refl_B_406,2411.53491
refl_B_407,2416.54199
refl_B_408,2421.54883
refl_B_409,2426.55591
refl_B_410,2431.56299
refl_B_411,2436.57007
refl_B_412,2441.57690
refl_B_413,2446.58398
refl_B_414,2451.59106
refl_B_415,2456.59814
refl_B_416,2461.60498
refl_B_417,2466.61230
refl_B_418,2471.61914
refl_B_419,2476.62622
refl_B_420,2481.63330
refl_B_421,2486.64038
refl_B_422,2491.64722
refl_B_423,2496.65430
refl_B_424,2501.66138
refl_B_425,2506.66846
refl_B_426,2511.67529
