Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
GR08,2009,39.694964,-78.466111,PIST,0.78,QURU,0.09,50.90,0.459,17.22,1.572,44.80,2.709,27.93,1.520,138.95,25.992,1.56,0.049,-1.45,0.959,,
GR09,2009,39.692448,-78.483460,PIST,0.83,QUAL,0.04,50.99,0.480,17.42,1.748,46.52,2.830,29.23,1.711,147.29,28.556,1.44,0.035,-1.24,1.058,,
GR10,2009,39.653255,-78.496802,QUAL,0.53,QURU,0.37,50.45,0.529,14.85,0.694,30.26,2.776,16.63,2.097,87.50,10.038,2.66,0.178,-3.92,0.361,,
GR11,2009,39.666293,-78.414367,ACRU,0.30,QUAL,0.25,49.90,0.493,14.32,0.811,30.47,1.283,17.17,1.134,76.98,9.589,2.37,0.115,-3.86,0.383,,
GR12,2009,39.659867,-78.511563,QUAL,0.18,QUPR,0.18,49.53,0.504,15.91,0.814,35.02,1.606,20.05,1.090,71.66,9.569,2.54,0.119,-3.69,0.312,,
GR14,2009,39.666760,-78.459268,PIST,0.57,ACRU,0.14,50.81,0.361,17.12,1.289,42.33,2.088,25.53,1.275,135.88,19.651,1.62,0.057,-1.99,0.803,,
GR15,2009,39.637244,-78.478366,PIVI,0.55,ACRU,0.18,50.54,0.458,18.31,1.040,39.34,1.946,22.06,1.548,136.64,9.460,1.71,0.130,-3.43,0.455,,
GR16,2009,39.668187,-78.457437,QUAL,0.37,ACSM,0.22,49.53,0.380,14.96,0.462,31.35,1.353,17.06,1.099,78.01,6.392,2.66,0.138,-3.81,0.364,,
GR18,2009,39.672750,-78.415503,ROPS,0.40,QUPR,0.27,49.01,0.870,17.14,1.250,38.04,4.114,24.56,3.451,72.31,17.507,3.02,0.218,-1.61,0.647,,
GR19,2009,39.648152,-78.386900,QURU,0.24,ACSM,0.24,49.67,0.286,15.10,0.496,33.80,1.783,19.01,1.425,82.19,7.320,2.44,0.109,-3.53,0.443,,
GR21,2009,39.605952,-78.430828,QUPR,0.33,ACSM,0.26,49.61,0.607,15.14,0.864,34.86,1.594,20.60,0.989,76.23,11.590,2.47,0.133,-3.44,0.532,,
IDS01,2008,39.670753,-78.425428,QUPR,0.43,PIST,0.26,49.99,0.094,17.18,0.415,39.72,0.831,23.78,0.632,111.87,1.701,1.97,0.045,-1.99,0.826,,
IDS05,2008,39.653255,-78.496802,QUAL,0.59,QURU,0.35,49.23,0.104,16.16,0.395,33.24,0.833,17.94,0.667,91.00,1.089,2.69,0.031,-4.00,0.380,,
IDS10,2008,39.673140,-78.423018,QUPR,0.43,QUVE,0.20,48.73,0.109,16.28,0.463,35.08,0.906,19.86,0.655,78.38,2.593,2.76,0.032,-4.04,0.345,,
IDS23,2008,39.608193,-79.149253,ACSM,0.42,LITU,0.15,48.39,0.124,15.07,0.344,35.43,0.668,21.49,0.575,75.81,1.323,2.74,0.045,-2.84,0.689,,
IDS25,2008,39.592356,-79.183151,LITU,0.58,TSCA,0.19,47.72,0.152,14.41,0.536,32.87,1.219,19.19,0.798,78.51,2.387,2.53,0.049,-2.03,0.606,,
IDS34,2008,39.665071,-78.971142,QURU,0.55,ACRU,0.25,49.91,0.114,16.03,0.472,37.14,0.875,22.66,0.708,99.87,1.639,2.77,0.045,-3.62,0.476,,
IDS35,2008,39.611706,-79.083810,TSCA,0.44,ACSM,0.19,49.66,0.122,15.70,0.423,36.32,0.781,20.68,0.624,98.02,2.900,2.01,0.051,-4.81,0.786,,
IDS36,2008,39.611925,-79.085442,ACSM,0.26,QURU,0.17,48.22,0.079,16.99,0.310,37.46,0.682,21.79,0.566,71.94,2.141,2.73,0.029,-3.83,0.447,,
IDS40,2008,39.557244,-79.209824,NYSY,0.31,QURU,0.25,49.37,0.116,14.06,0.340,32.37,0.715,18.02,0.510,81.95,0.659,2.36,0.029,-3.69,0.496,,
KM01,2009,43.572093,-88.187772,ACSM,0.63,FRAM,0.08,48.86,0.167,14.38,0.485,30.51,1.062,17.17,0.771,84.35,1.921,2.71,0.047,-4.50,0.279,,
KM02,2009,43.632442,-88.198751,FRNI,0.78,ULAM,0.16,47.57,0.235,8.79,0.784,23.15,1.107,15.11,0.987,78.34,2.902,2.76,0.066,-2.22,0.470,,
KM03,2009,43.671754,-88.135775,FRPE,0.86,ULAM,0.12,47.03,0.193,14.16,0.877,32.13,1.105,18.61,1.077,79.61,0.841,2.49,0.018,-3.74,0.484,,
KM04,2009,43.700946,-88.127923,ACSN,0.81,FRNI,0.08,50.35,0.186,12.03,0.518,27.08,0.937,16.36,0.700,77.60,1.594,2.54,0.037,-3.92,0.311,,
KM05,2009,43.704633,-88.088236,QURU,0.58,ACRU,0.13,50.24,0.123,15.92,0.381,36.21,0.729,22.23,0.618,86.80,1.951,2.57,0.028,-4.18,0.234,,
MN01,2008,47.651062,-91.418321,PIST,0.79,BEPA,0.15,50.80,0.224,17.11,0.697,44.63,1.348,26.78,0.905,313.44,7.800,1.44,0.036,-1.56,0.310,,
MN02,2008,47.655830,-91.446190,PIBA,0.46,ABBA,0.32,51.02,0.104,20.30,0.444,45.31,0.923,25.92,0.567,159.83,2.899,1.65,0.042,-4.32,0.265,,
MN03,2008,47.740875,-91.511544,PIRE,0.93,PIGL,0.05,50.10,0.122,22.45,0.485,50.80,0.927,27.80,0.743,207.35,1.419,1.11,0.015,-3.59,0.346,,
MN04,2008,47.740664,-91.574093,PIMA,0.99,ALIN,0.01,50.62,0.121,21.51,0.518,48.34,0.904,25.95,0.637,221.80,1.989,0.97,0.017,-6.26,0.308,,
MN05,2008,47.408030,-91.294432,POTR,0.78,BEPA,0.15,50.79,0.142,17.66,0.841,35.24,1.297,26.67,1.010,88.91,1.045,2.70,0.036,-2.11,0.319,,
MN06,2008,47.386867,-91.232320,FRNI,0.73,ACSP,0.08,48.23,0.169,11.96,0.410,28.35,0.695,17.11,0.668,87.07,2.226,2.86,0.039,-0.74,0.307,,
MN07,2008,47.497285,-91.288505,THOC,0.92,PIMA,0.05,49.03,0.187,14.83,0.289,37.05,0.629,21.89,0.579,191.42,2.588,0.97,0.029,-4.79,0.300,,
MN08,2008,47.535308,-91.314252,PIMA,0.93,LALA,0.07,50.55,0.113,22.48,0.366,50.24,0.551,27.10,0.460,177.75,1.364,1.06,0.021,-5.83,0.206,,
MN09,2008,47.502457,-91.280608,ACSM,0.74,BEAL,0.12,49.55,0.112,13.31,0.392,27.42,0.735,13.91,0.760,79.71,2.355,2.42,0.025,-3.70,0.228,,
NC01,2008,45.624196,-90.782898,POTR,0.28,ACSM,0.27,49.47,0.124,17.49,0.417,36.86,0.733,22.85,0.575,60.01,0.685,2.59,0.045,-3.22,0.200,,
NC02,2008,45.628044,-90.793649,ACSM,0.38,TSCA,0.32,49.70,0.120,14.36,0.417,30.71,0.815,16.79,0.600,89.79,3.022,2.01,0.023,-4.56,0.287,,
NC03,2008,45.618090,-90.781750,ACSM,0.48,FRAM,0.30,48.56,0.164,17.61,0.441,35.74,0.943,18.98,0.700,60.78,1.458,2.49,0.056,-4.14,0.247,,
NC04,2008,45.623890,-90.775306,ACSM,0.62,FRAM,0.21,48.51,0.155,17.79,0.398,36.60,0.797,20.15,0.617,64.72,0.599,2.48,0.050,-3.84,0.276,,
NC05,2008,45.940320,-90.260770,ACSM,0.60,ABBA,0.19,49.07,0.145,13.20,0.331,28.07,0.627,14.06,0.528,91.67,2.171,1.68,0.038,-4.09,0.246,,
NC06,2008,45.943170,-90.231660,PIRE,0.93,ACRU,0.03,50.53,1.316,19.09,1.210,48.28,1.885,27.38,1.552,182.53,12.706,1.37,0.212,-1.99,1.334,,
NC07,2008,45.975752,-90.219528,POTR,0.93,PIRE,0.05,51.83,0.193,18.28,0.959,36.79,1.487,28.64,1.183,81.20,2.129,2.39,0.036,-1.61,0.359,,
NC08,2008,45.948168,-90.276255,LALA,0.85,PIMA,0.15,50.18,0.177,20.00,0.764,50.63,1.437,30.53,0.662,173.68,2.748,1.42,0.028,-6.21,0.486,,
NC09,2008,45.971386,-90.284027,FRNI,0.75,ABBA,0.11,47.74,0.199,14.39,0.407,33.13,0.761,18.56,0.651,92.19,3.665,2.78,0.058,-0.91,0.339,,
NC10,2008,45.958327,-90.225744,LALA,0.94,ACRU,0.02,50.14,0.653,18.99,1.397,49.71,2.735,30.63,2.094,163.50,28.697,1.57,0.357,-5.80,1.233,,
NC11,2008,45.978107,-90.229292,ACSM,0.91,TIAM,0.06,49.36,0.130,12.87,0.280,29.46,0.684,16.28,0.476,79.95,1.481,2.14,0.018,-4.06,0.187,,
NC12,2008,45.951767,-90.250861,PIBA,0.97,PRUNUS,0.03,50.48,0.108,22.54,0.419,53.01,0.884,29.79,0.696,182.36,2.081,1.58,0.018,-4.90,0.302,,
NC13,2008,45.961481,-90.234778,PIRE,0.89,ACRU,0.06,51.25,0.100,18.70,0.377,46.98,0.671,26.44,0.551,181.34,2.299,1.46,0.017,-2.59,0.281,,
NC14,2008,45.965706,-90.317748,ABBA,0.67,POTR,0.10,51.19,0.119,16.00,0.344,35.41,0.588,20.22,0.481,161.63,2.898,1.47,0.038,-4.50,0.250,,
NC15,2010,45.980700,-90.232637,ACSM,0.72,TIAM,0.22,48.32,0.220,11.91,0.485,27.74,0.802,14.80,0.772,56.26,0.913,1.76,0.061,-3.95,0.417,,
NC16,2010,45.958567,-90.244012,PIBA,0.84,PIRE,0.08,49.82,0.215,20.10,0.691,49.50,1.100,29.23,0.931,182.62,2.162,1.81,0.030,-4.01,0.492,,
NC17,2010,45.944751,-90.259093,ACSM,0.62,TIAM,0.25,46.94,0.200,11.39,0.564,23.33,0.914,10.53,0.751,58.11,0.816,2.05,0.031,-2.08,0.342,,
NC18,2010,45.959310,-90.264543,PIST,0.84,ACSM,0.06,50.27,0.226,14.56,0.615,39.72,1.272,26.56,0.966,168.36,2.433,1.65,0.029,0.38,0.595,,
NC19,2010,45.936436,-90.199670,PIRE,0.85,ABBA,0.08,49.33,0.233,19.35,0.655,49.18,1.238,28.10,0.929,173.35,2.429,1.16,0.038,-1.01,0.509,,
NC20,2010,45.979638,-90.259819,PIST,0.69,BEAL,0.17,49.51,0.142,17.10,0.425,41.26,0.898,24.73,0.571,153.56,3.639,1.79,0.031,-1.46,0.347,,
NC21,2010,45.970567,-90.267623,POTR,0.70,ABBA,0.24,50.20,0.183,15.91,0.730,35.22,1.236,25.50,1.018,102.64,5.783,2.15,0.044,-2.24,0.370,,
NC22,2010,45.805295,-90.080496,ACSM,0.61,FRAM,0.20,47.91,0.205,11.86,0.452,25.71,0.934,13.70,0.713,97.08,2.867,2.05,0.072,-3.21,0.234,,
NC23,2010,45.802666,-90.079725,QURU,0.69,ACSM,0.21,48.96,0.135,15.33,0.350,34.62,0.667,21.58,0.544,88.64,1.944,2.54,0.035,-3.26,0.245,,
OF01,2009,46.193518,-89.241465,TSCA,0.64,BEAL,0.17,49.96,0.201,11.95,0.971,25.07,1.638,13.25,1.147,98.29,2.051,1.89,0.040,-4.37,0.558,,
OF02,2009,46.346779,-89.181233,PIRE,0.99,ACRU,0.01,50.76,0.144,21.04,0.487,47.30,0.919,24.80,0.735,196.86,1.338,1.26,0.017,-2.11,0.358,,
OF03,2009,46.240058,-89.350798,TSCA,0.69,BEAL,0.16,50.19,0.235,10.26,1.098,23.35,1.845,13.06,1.360,122.67,2.549,1.72,0.048,-4.52,0.645,,
OF04,2009,46.267401,-89.301404,ACSM,0.99,THOC,0.01,49.23,0.203,16.56,0.615,29.32,1.114,13.05,0.888,58.15,0.957,1.97,0.024,-4.99,0.382,,
OF05,2009,46.302286,-89.238086,POTR,0.76,ABBA,0.08,50.57,0.203,20.70,0.847,41.80,1.336,30.34,1.060,80.79,1.398,2.70,0.025,-2.63,0.381,,
PB01,2008,46.787922,-90.969151,TSCA,0.61,ACSM,0.29,49.69,0.109,15.11,0.492,31.71,0.999,15.49,0.633,115.22,2.967,1.72,0.032,-4.22,0.269,,
PB02,2008,46.779315,-90.934084,ACSM,0.51,QURU,0.33,49.38,0.151,16.44,0.345,33.55,0.564,17.18,0.580,73.47,9.230,2.36,0.042,-4.33,0.210,,
PB03,2008,46.796110,-90.948644,POTR,0.91,TIAM,0.05,50.57,0.152,16.94,0.881,32.98,1.483,25.44,1.030,71.05,0.886,2.56,0.033,-2.22,0.301,,
PB04,2008,46.762840,-90.955950,PIST,0.58,PIRE,0.30,50.78,0.125,18.60,0.399,43.87,0.688,23.82,0.505,167.79,3.235,1.31,0.024,-3.29,0.257,,
PB05,2008,46.352442,-91.661389,PIBA,0.85,QUMA,0.13,50.78,0.105,22.44,0.530,52.68,0.989,29.41,0.766,194.28,3.416,1.56,0.034,-4.72,0.371,,
PB06,2008,46.351951,-91.654452,PIRE,0.96,QUMA,0.04,51.72,0.151,19.84,0.505,47.90,0.870,25.94,0.740,224.53,1.624,1.17,0.021,-1.66,0.390,,
PB07,2008,46.440213,-91.467617,PIBA,0.73,AMEL,0.18,51.35,0.125,20.47,0.578,50.92,1.128,29.33,0.858,179.41,2.273,1.66,0.038,-4.70,0.413,,
PB08,2008,46.442723,-91.490466,PIBA,0.96,BENI,0.02,50.11,0.187,21.28,0.738,52.09,1.367,30.57,1.043,175.93,1.463,1.26,0.030,-3.80,0.489,,
PB09,2008,46.432514,-91.519893,PIBA,1.00,,NA,50.63,0.116,22.07,0.472,51.90,0.895,29.68,0.790,177.71,1.011,1.43,0.017,-4.44,0.347,,
PB10,2008,46.433084,-91.547574,PIBA,1.00,,NA,51.37,0.129,20.78,0.755,50.39,1.345,28.96,1.108,177.02,1.361,1.41,0.018,-4.82,0.495,,
PB11,2008,45.691362,-92.831641,PIBA,0.52,QUEL,0.28,50.61,0.089,19.84,0.347,46.39,0.848,26.83,0.654,150.63,5.183,2.19,0.103,-4.50,0.232,,
PB12,2008,45.940532,-92.478034,QUEL,0.75,ACRU,0.14,50.02,0.105,15.43,0.343,34.06,0.581,19.48,0.626,84.56,1.053,3.09,0.031,-3.84,0.284,,
PB13,2008,46.136704,-91.989182,PIBA,1.00,,NA,51.39,0.130,19.55,0.683,51.27,1.348,30.26,0.963,190.12,1.123,1.64,0.014,-4.34,0.398,,
PB14,2010,46.430659,-91.529170,PIRE,1.00,,NA,51.49,0.331,19.49,0.772,47.28,1.356,25.68,0.518,223.05,7.931,1.17,0.101,-2.59,1.354,,
PM01,2009,46.707029,-89.776170,ACSM,0.79,FRNI,0.05,48.15,0.147,14.73,0.339,26.38,0.769,12.79,0.649,62.70,0.927,2.18,0.029,-4.03,0.280,,
PM02,2009,46.725868,-89.915098,TSCA,0.51,ACSM,0.29,49.53,0.174,13.18,0.614,29.36,1.188,16.21,0.833,104.55,2.884,2.07,0.028,-4.16,0.363,,
PM03,2009,46.743029,-89.760362,ACSM,0.78,BEAL,0.09,48.71,0.190,15.07,0.456,26.21,1.003,12.44,0.859,53.20,2.409,2.20,0.044,-4.34,0.379,,
PM04,2009,46.743458,-89.775531,ACSM,0.69,QURU,0.22,49.00,0.127,14.77,0.336,28.02,0.758,14.50,0.652,51.88,1.635,2.52,0.020,-3.72,0.278,,
PM05,2009,46.697942,-89.962111,TSCA,0.70,BEAL,0.14,49.89,0.191,13.72,0.955,28.49,1.580,14.78,1.129,128.34,2.332,1.61,0.043,-5.01,0.534,,
SF01,2009,47.838453,-91.674762,PIMA,0.95,ALIN,0.05,50.87,0.158,19.85,0.613,42.06,0.976,22.50,0.806,205.90,1.809,1.03,0.024,-6.01,0.378,,
SF02,2009,47.807786,-91.744473,PIRE,0.89,ABBA,0.06,50.34,0.122,19.97,0.430,46.83,0.798,26.01,0.658,208.47,2.413,1.29,0.014,-2.94,0.322,,
SF03,2009,47.774543,-92.458612,POTR,0.84,ABBA,0.11,50.14,0.182,17.87,0.812,35.50,1.307,26.32,1.030,88.02,2.072,2.45,0.033,-2.48,0.374,,
SF04,2009,47.752932,-92.469191,THOC,0.69,ABBA,0.20,50.18,0.189,16.36,0.467,40.80,0.852,25.74,0.707,179.23,1.936,1.39,0.031,-4.12,0.326,,
SF05,2009,47.837012,-91.637657,PIBA,0.76,ABBA,0.12,50.78,0.099,21.85,0.468,50.13,0.957,28.19,0.737,180.25,2.204,1.56,0.020,-4.78,0.308,,
SR01,2009,39.611706,-79.083810,TSCA,0.40,ACSM,0.25,49.73,0.173,15.23,0.379,35.12,2.358,19.97,2.104,97.13,8.622,1.89,0.093,-5.23,0.766,,
SR02,2009,39.611925,-79.085442,ACSM,0.44,TIAM,0.25,49.16,0.474,14.51,0.495,33.90,1.030,19.70,0.899,72.03,6.508,2.57,0.119,-3.64,0.612,,
SR03,2009,39.557244,-79.209824,NYSY,0.29,QUPR,0.24,49.87,0.438,14.38,0.827,32.06,1.367,17.97,1.193,80.61,8.769,2.45,0.108,-3.64,0.453,,
SR04,2009,39.569988,-79.200381,ACRU,0.48,ACSM,0.19,50.53,0.485,14.07,0.931,32.23,0.991,17.87,1.242,73.88,11.769,2.20,0.092,-3.84,0.458,,
SR05,2009,39.575784,-79.200166,ACSM,0.50,HAVI,0.18,49.57,0.229,14.35,0.611,32.14,1.252,18.22,1.067,66.74,6.972,2.30,0.143,-4.01,0.781,,
SR07,2009,39.592356,-79.183151,LITU,0.28,ACRU,0.21,49.03,0.295,14.49,0.538,34.43,1.530,20.64,1.416,78.66,8.674,2.46,0.094,-2.88,0.451,,
SR09,2009,39.634570,-79.143510,ACRU,0.24,NYSY,0.24,49.71,0.312,14.35,0.632,32.65,1.128,18.52,1.028,79.07,7.289,2.47,0.086,-3.92,0.399,,
SR10,2009,39.575589,-79.085739,PIST,0.81,ACRU,0.16,51.08,0.467,16.93,1.663,45.39,2.784,28.44,1.603,141.77,26.289,1.42,0.031,-1.45,0.998,,
SR13,2009,39.536976,-79.067071,PIST,0.87,FRAM,0.09,50.90,0.489,17.66,1.815,47.67,2.942,29.97,1.743,145.59,29.221,1.42,0.040,-1.15,1.074,,
SR15,2009,39.532904,-79.142302,ACRU,0.29,ACSM,0.25,49.85,0.356,14.43,0.658,32.35,0.995,18.38,0.962,65.93,8.801,2.28,0.094,-4.00,0.553,,
