Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
AK50B,2009,43.677218,-75.059709,ACSM,0.45,FAGR,0.37,49.76,0.253,22.22,0.760,46.02,1.336,22.49,1.058,69.50,6.622,2.26,0.043,-7.98,0.431,,
AK51B,2009,43.660909,-74.801883,ACRU,0.31,BEAL,0.21,49.17,0.341,18.14,1.460,39.39,2.129,21.60,0.959,96.59,5.840,1.96,0.104,-5.17,0.517,,
AK52,2009,43.414203,-74.628798,FAGR,0.58,ACSM,0.29,50.28,0.191,20.17,0.833,48.31,1.334,28.51,0.877,100.70,2.308,1.76,0.033,-5.62,0.492,,
AK54,2009,43.411797,-74.625305,PIST,0.75,BEAL,0.07,51.35,0.250,22.03,0.853,52.82,1.350,29.13,1.190,128.74,3.059,1.55,0.040,-3.76,0.584,,
AK57,2009,43.735635,-74.509520,PIRU,0.41,ABBA,0.34,51.73,0.135,15.55,0.467,41.23,1.020,25.34,0.696,161.10,2.951,1.62,0.041,-4.80,0.293,,
AK58,2009,43.509498,-74.912299,PIRU,0.40,ABBA,0.33,51.16,0.228,15.87,0.636,44.47,1.103,26.13,0.830,149.86,2.619,1.56,0.042,-5.60,0.475,,
AK59,2009,43.504900,-74.895197,FAGR,0.43,ACSM,0.35,49.91,0.240,20.49,0.732,45.75,1.342,25.03,0.899,77.99,6.983,2.73,0.051,-5.23,0.357,,
AK60,2009,43.582058,-74.510669,ABBA,0.93,BEPA,0.08,53.86,0.520,11.60,1.411,40.67,2.636,23.49,1.990,174.66,5.967,1.55,0.041,-0.81,1.130,,
AK61,2009,43.859225,-75.106429,ACRU,0.38,PRSE,0.35,48.12,0.230,20.29,0.764,39.96,1.257,20.14,1.018,84.94,10.263,1.84,0.053,-6.88,0.493,,
BH02,2008,43.372407,-89.907106,TSCA,0.55,QURU,0.23,49.82,0.118,14.03,0.679,28.44,1.159,15.03,0.916,113.83,2.120,2.09,0.053,-4.33,0.387,,
